"performer","beat_1","beat_2","beat_3","beat_4","beat_5","beat_6","beat_7","beat_8","intensity_1","intensity_2","intensity_3","intensity_4","intensity_5","intensity_6","intensity_7","intensity_8","bar"
"CH",0.119081912471973,0.116316362676222,0.120353934273182,0.12743359540072,0.122123849555067,0.118584171438781,0.138136018522979,0.137970155661076,0.0726846424384525,0.0480656506447832,0.00820633059788983,0,-0.00468933177022281,0.106682297772567,-0.0715123094958968,0.0574443141852287,"23"
"CH",0.121212022602106,0.107044351900588,0.0975993736883481,0.133805507670121,0.119637836968604,0.140102521381671,0.17175843179112,0.108839953997442,-0.117233294255569,0.123094958968347,-0.0492379835873388,0.0633059788980069,-0.0480656506447831,0.044548651817116,-0.0996483001172333,-0.00703399765533405,"24"
"CH",0.111507080345072,0.140529451895352,0.140529451895352,0.105906342585096,0.109979670200802,0.127291312567549,0.133401303991107,0.130855386519671,0.0199296600234467,0.0480656506447831,0.0316529894490035,0.0152403282532239,-0.0281359906213365,0.0515826494724502,0.0152403282532239,0.0234466588511137,"25"
"CH",0.123358325849907,0.105065691206003,0.116351996462899,0.117407406030815,0.147103667528048,0.111163182220639,0.131328437607615,0.148221293094073,-0.0527549824150059,-0.0105509964830011,-0.041031652989449,-0.00937866354044562,-0.00703399765533405,0.0691676436107855,-0.037514654161782,0.0668229777256741,"26"
"CH",0.118084631318085,0.107217566184889,0.117677793104509,0.1032949410469,0.120292769748151,0.115062656288341,0.130753156840296,0.187616485468828,-0.216881594372802,0.0527549824150059,0.0867526377491206,0.0351699882766706,0.0351699882766706,-0.0304806565064478,-0.00703399765533422,0.0140679953106683,"27"
"CH",0.138377217362856,0.100647657677993,0.116528971095721,0.117606840870187,0.12032725017247,0.123586687943318,0.120526765570904,0.162398609306551,0.0246189917936695,-0.0855803048065652,0.0527549824150059,-0.167643610785463,0.0890973036342322,-0.117233294255569,0.206330597889801,0.00820633059788983,"28"
"CH",0.116439213139947,0.111798513121699,0.121079913158195,0.112923648763568,0.12667690870339,0.123976862237474,0.13113481487821,0.155970125997517,-0.0550996483001173,0.0257913247362251,-0.0117233294255569,-0.00586166471277843,0.0105509964830011,-0.0117233294255569,-0.0152403282532239,-0.0328253223915592,"29"
"CH",0.116336200428331,0.136010644745488,0.122883900543638,0.140029884950983,0.123154346313158,0.118877281140721,0.122273802625626,0.120433939252055,0.0386869871043376,-0.0691676436107854,0.0328253223915592,-0.033997655334115,0.0422039859320048,-0.0621336459554515,0.0246189917936695,-0.0281359906213365,"30"
"CH",0.124145179625052,0.123468275457275,0.128883641473767,0.11826969921149,0.124334771168712,0.117499525026084,0.111867634587441,0.151531273450179,-0.0351699882766706,0.00351699882766702,-0.0152403282532239,-0.0457209847596717,0.056271981242673,-0.00937866354044545,0.0304806565064478,-0.0504103165298945,"31"
"CH",0.112621128446732,0.113938359617196,0.123707022895972,0.128803281326472,0.114498556774546,0.116436478383,0.139535163221688,0.150460009334394,0.0644783118405627,-0.0187573270808911,-0.0246189917936693,-0.0128956623681126,0.0199296600234466,-0.00937866354044545,0.0363423212192264,-0.11137162954279,"32"
"CH",0.117505913969389,0.11510782847196,0.113509104807008,0.146208167591406,0.134367422500803,0.112310130909442,0.121902472899155,0.139088958850836,0.0492379835873388,0.025791324736225,-0.0597889800703399,0,0.0633059788980069,-0.0433763188745603,0.0023446658851114,0.00234466588511132,"33"
"CH",0.127819536969477,0.120300723746037,0.121971571129024,0.131996655426944,0.135485286900758,0.116812236186726,0.11111106313961,0.134502926501424,0.0386869871043376,0.0515826494724502,0.0117233294255569,-0.140679953106682,0.117233294255569,-0.0679953106682298,-0.0363423212192263,0.00937866354044545,"34"
