"performer","beat_1","beat_2","beat_3","beat_4","intensity_1","intensity_2","intensity_3","intensity_4"
"CH",0.302789006821341,0.239043854462631,0.223107472996448,0.23505966571958,0.0177777777777779,0.0255555555555555,-0.0222222222222222,-0.0611111111111111
"CH",0.233521622006222,0.259658989992581,0.224333412547109,0.282485975454087,-0.00666666666666668,0.00888888888888886,0.0155555555555555,-0.0833333333333333
"CH",0.243614868274771,0.245579750879114,0.214145312904055,0.29666006794206,0.0244444444444445,0.12,-0.00777777777777781,0.0777777777777778
"CH",0.224944522534667,0.269487686382986,0.242761621036086,0.262806170046261,-0.0722222222222222,0.0755555555555557,-0.0577777777777778,0.0388888888888889
"CH",0.283433214286,0.223763169061865,0.234418691257173,0.258384925394962,-0.0622222222222223,0.107777777777778,-0.0466666666666667,0.0566666666666668
"CH",0.250644232952185,0.251146526004194,0.271564815137397,0.226644425906224,-0.0711111111111112,0.0400000000000001,-0.05,-0.00444444444444451
"CH",0.289416903505156,0.224622104583665,0.239200934341,0.246760057570179,-0.0866666666666666,0.105555555555556,0.0155555555555555,0.0433333333333334
"CH",0.208588957055215,0.259713573619632,0.224949003067485,0.306748466257669,0.00111111111111105,0.0322222222222223,-0.08,0.0611111111111111
"CH",0.203846058154574,0.271153878744457,0.211538607156083,0.313461455944887,-0.0566666666666666,0.0233333333333333,-0.101111111111111,0.0544444444444444
"CH",0.189795942576013,0.222448880414398,0.293877588504794,0.293877588504794,-0.0788888888888888,0.0211111111111112,-0.0644444444444445,0.0266666666666667
"CH",0.247863381410256,0.258546875,0.237179487179487,0.256410256410256,-0.0888888888888889,0.12,-0.0066666666666666,0.0644444444444444
"CH",0.276371439873418,0.255274129746835,0.255274129746835,0.213080300632911,-0.0544444444444445,0.0811111111111112,-0.08,-0.0100000000000001
"CH",0.262331801803279,0.266816246242118,0.226457507503152,0.244394444451451,-0.0777777777777778,0.136666666666667,-0.021111111111111,0.0644444444444444
"CH",0.278825864779874,0.251572327044025,0.264150943396226,0.205450864779874,-0.0122222222222222,0.0299999999999999,-0.0355555555555554,-0.0400000000000001
"CH",0.28169014084507,0.206572623239437,0.267605633802817,0.244131602112676,-0.0799999999999999,0.155555555555555,-0.0311111111111111,0.0644444444444444
"CH",0.246943842621075,0.239608881537628,0.249388676837201,0.264058599004096,0.0111111111111111,0.0255555555555557,-0.0522222222222223,0.0744444444444445
